model,method,snr_db,fidelity_drop,stability_spearman,sparsity_hoyer,n_samples
swin_tiny,gradcam,0,-0.10600948333740234,0.9215972166878036,0.18857908988667993,2
swin_tiny,gradcam,5,0.0742267370223999,0.9742593100336235,0.20278787835446357,1
swin_tiny,gradcam,10,0.08872655034065247,0.981628865938464,0.17948328692056573,2
swin_tiny,gradcam,15,0.014792899290720621,0.9851797475747185,0.19825862104718198,3
swin_tiny,gradcam,20,0.0029974778493245444,0.9882665874817692,0.21279600523134967,3
swin_tiny,gradcam,999,0.0060860514640808105,0.9857790542236501,0.18548930881043707,1
swin_tiny,lime,0,0.9418271780014038,0.20063811994739303,0.6849560074474831,1
swin_tiny,lime,5,0.903269350528717,0.2317737495158567,0.43864829123265936,1
swin_tiny,lime,10,0.06659436225891113,0.39757866461061087,0.4261605849368362,2
swin_tiny,lime,15,0.010955115159352621,0.2985910698300441,0.46976946281867216,3
swin_tiny,lime,20,0.2403088410695394,0.40568879675268077,0.42973128151982043,3
swin_tiny,lime,999,0.005172252655029297,0.3560822834813136,0.521561702622546,1
swin_tiny,shap,0,-0.15649878978729248,0.7427714618606538,0.451130376916277,2
swin_tiny,shap,5,0.9277808666229248,0.22148469346528943,0.5737149490952201,1
swin_tiny,shap,10,0.06682094931602478,0.5934810152193819,0.4474056461557016,2
swin_tiny,shap,15,0.024738768736521404,0.6041851206661977,0.5263382443437309,3
swin_tiny,shap,20,0.12152079741160075,0.7414873058699204,0.4768656638542415,3
swin_tiny,shap,999,0.0023754239082336426,0.7686576367604455,0.31819435313679867,1
vgg16_bn,gradcam,0,0.2977138161659241,0.30880294923957446,0.44542396880207225,2
vgg16_bn,gradcam,5,-0.002691984176635742,0.19273827742514396,0.1844367439398095,1
vgg16_bn,gradcam,10,0.4768602252006531,0.6189194186482225,0.20924911055021256,2
vgg16_bn,gradcam,15,0.026027917861938477,0.6176818230583526,0.14997616199661715,3
vgg16_bn,gradcam,20,0.2839181025822957,0.7572207015213803,0.13082370578041322,3
vgg16_bn,gradcam,999,0.9464077949523926,0.7461019300689467,0.20379103360673972,1
vgg16_bn,lime,10,0.5103422701358795,0.44724765299065083,0.3543775056178089,2
vgg16_bn,lime,15,0.16785234212875366,0.2304312715422704,0.38441688230224397,3
vgg16_bn,lime,20,0.3248806397120158,0.3014940831146033,0.40668985758453324,3
vgg16_bn,lime,999,0.7591896057128906,0.1820790206556241,0.34186113208678426,1
vgg16_bn,shap,0,0.3030434846878052,0.16172037419690166,0.47341488318478997,2
vgg16_bn,shap,5,0.00460362434387207,0.16550168622504144,0.398743776638072,1
vgg16_bn,shap,10,0.4822068214416504,0.5381105905622184,0.40290544086319313,2
vgg16_bn,shap,15,0.34310946861902875,0.5132391083901087,0.5556446788374215,3
vgg16_bn,shap,20,0.39349794387817383,0.3918963192495988,0.5606209383109731,3
vgg16_bn,shap,999,0.9030669927597046,0.31847192918004263,0.19904952138723156,1
vit_small,gradcam,0,0.12890979647636414,1.0,1.0044843049327354,2
vit_small,gradcam,5,0.021489858627319336,1.0,1.0044843049327354,1
vit_small,gradcam,10,0.0011363029479980469,1.0,1.0044843049327354,2
vit_small,gradcam,15,0.002854585647583008,1.0,1.0044843049327354,3
vit_small,gradcam,20,0.0015807747840881348,1.0,1.0044843049327354,3
vit_small,gradcam,999,0.005237102508544922,1.0,1.0044843049327354,1
vit_small,lime,0,0.5707477629184723,0.3389093911011856,0.45445507034800525,2
vit_small,lime,5,0.22729265689849854,0.28413900320400437,0.2996894114964745,1
vit_small,lime,10,0.46510857343673706,0.4301350826251392,0.49696306907971555,2
vit_small,lime,15,0.27985721826553345,0.48390050718464916,0.49357714008516324,3
vit_small,lime,20,0.03911050160725912,0.4239372310042768,0.5046180161582431,3
vit_small,lime,999,0.6419013738632202,0.3104541523676608,0.45649583448044045,1
vit_small,shap,0,0.4499601423740387,0.7166195208831418,0.46544923599268895,2
vit_small,shap,5,0.060728490352630615,0.5662634921867754,0.31925837861638856,1
vit_small,shap,10,0.45728832483291626,0.5634999514471677,0.4162768969566659,2
vit_small,shap,15,0.3600119153658549,0.7549697723568536,0.49770093793185105,3
vit_small,shap,20,0.015417357285817465,0.825244672224844,0.3673972567222106,3
vit_small,shap,999,0.8537256717681885,0.93903241762892,0.3781129194879849,1
